filename,size paramter of equivalent volume sphere,wavelength (m),extinction efficiency,scattering efficiency,average geometrical cross section (m^2),volume (m^3),maximum distance from the center of mass (m),single scattering albedo,asymmetry factor
MSC_vo_02248_m03_g1_1862,5.20665E+02,2.24750E-06,2.01855E+00,1.83870E+00,2.27690E-07,2.70590E-11,5.93300E-04,9.10900E-01,8.03800E-01
MSC_vo_02248_m03_g1_3722,1.04057E+03,2.24750E-06,2.01169E+00,1.72645E+00,1.02860E-06,2.16000E-10,1.33400E-03,8.58207E-01,8.27100E-01
MSC_vo_02248_m02_g2_0202,5.63529E+01,2.24750E-06,2.07777E+00,2.04396E+00,1.75390E-09,3.43070E-14,3.64850E-05,9.83727E-01,8.13700E-01
MSC_vo_02248_m02_g2_0145,4.06079E+01,2.24750E-06,2.10811E+00,2.08366E+00,9.10690E-10,1.28370E-14,2.62910E-05,9.88405E-01,8.16200E-01
MSC_vo_02248_m03_g1_5162,1.44307E+03,2.24750E-06,2.00940E+00,1.64693E+00,1.97820E-06,5.76100E-10,1.85000E-03,8.19611E-01,8.45800E-01
MSC_vo_02248_m01_fd_0054,1.51579E+01,2.24750E-06,2.36085E+00,2.35191E+00,1.28978E-10,6.65251E-16,9.90831E-06,9.96217E-01,8.47085E-01
MSC_vo_02248_m02_g2_1205,3.36989E+02,2.24750E-06,2.02329E+00,1.87722E+00,7.85170E-08,7.33640E-12,2.81120E-04,9.27806E-01,8.09700E-01
MSC_vo_02248_m01_fd_0008,2.14402E+00,2.24750E-06,2.96797E-01,2.95775E-01,2.57693E-12,1.88147E-18,1.39503E-06,9.96556E-01,6.71528E-01
MSC_vo_02248_m01_fd_0039,1.08902E+01,2.24750E-06,2.61219E+00,2.60586E+00,6.65057E-11,2.46679E-16,7.08247E-06,9.97579E-01,8.71754E-01
MSC_vo_02248_m02_g2_1660,4.64194E+02,2.24750E-06,2.01932E+00,1.85199E+00,1.74580E-07,1.91750E-11,4.69800E-04,9.17134E-01,8.07100E-01
MSC_vo_01065_m01_fd_0054,3.19970E+01,1.06500E-06,2.01532E+00,2.01512E+00,1.29308E-10,6.65803E-16,9.89880E-06,9.99905E-01,7.65134E-01
MSC_vo_01065_m03_g1_5162,3.04536E+03,1.06500E-06,2.00522E+00,1.99423E+00,1.97820E-06,5.76110E-10,1.85000E-03,9.94518E-01,7.32500E-01
MSC_vo_01065_m02_g2_0145,8.57448E+01,1.06500E-06,2.06413E+00,2.06352E+00,9.11750E-10,1.28590E-14,2.63060E-05,9.99702E-01,7.66100E-01
MSC_vo_01065_m01_fd_0008,4.52083E+00,1.06500E-06,1.85626E+00,1.85623E+00,2.57266E-12,1.87680E-18,1.40685E-06,9.99987E-01,8.53890E-01
